Didascalia;Tipologia Punto di interesse;Denominazione;Comune;Indirizzo;Civico;Telefono;Email;Sito Web;Latitudine;Longitudine;Orario di Apertura
Casteldimezzo;Architettura e paesaggio;Casteldimezzo;PESARO;Piazza del Popolo;1;0721.3871;;www.comune.pesaro.pu.it;43.9575;12.8058;
Testa del guerriero di Numana;Archeologia;Ancona ? Testa del guerriero di Numana;ANCONA;Museo Archeologico Nazionale delle Marche, via Ferretti;6;071.202602 (Biglietteria Museo);sba-mar.museoancona@beniculturali.it;www.archeomarche.it/musarch.htm;43.6234;13.5109;Tutti i giorni 8.30- 19.30. Chiuso: il lunedì, 25 dicembre, 1 gennaio, 1 maggio.
Uovo di struzzo piceno dalla Necropoli di Pitino;Archeologia;Ancona (da Necropoli di Pitino di S. Severino Marche) ? Uovo di struzzo piceno;ANCONA;Museo Archeologico Nazionale delle Marche, Via Ferretti;6;071.202602  (Biglietteria Museo);sba-mar@beniculturali.it;www.archeomarche.it;43.6234;13.5109;Tutti i giorni 8.30 19.30. Chiuso: il lunedì, 25 dicembre, 1 gennaio, 1 maggio.
Reperti rinvenuti presso l'abitato di Monte Croce Guardia;Archeologia;Arcevia (Località Croce Guardia) - Insediamento dell'Età del Bronzo;ARCEVIA;Museo Archeologico Statale di Arcevia, Chiostro di S. Francesco, Corso Mazzini;67;0731.9622;sba-mar@beniculturali.it;www.archeomarche.it;43.4993;12.9386;Lun-merc-gio. 13.30 - 19.30/ mart-ven-sab-dom. 8.30 - 13.30. Chiusura: 1� Domenica del mese, 1� Gennaio, 1� Maggio, 25 Dicembre.
Reperti provenienti dal fossato di Conelle;Archeologia;Arcevia (Località Conelle) ? Fossato difensivo del Eneolotico;ARCEVIA;Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini;67;0731.9622;;www.archeomarche.beniculturali.it;43.4993;12.9386;Lun-merc-gio. 13.30 - 19.30/ mart-ven-sab-dom. 8.30 - 13.30. Chiusura: 1° Domenica del mese, 1° Gennaio, 1° Maggio, 25 Dicembre.
Sala del museo dedicata al Giacimento Paleolitico di Ponte Pietra;Archeologia;Arcevia (Località Ponte Pietra) - Giacimento Paleolitico di Ponte Pietra;ARCEVIA;Museo Archeologico Statale di Arcevia. Chiostro di S. Francesco, Corso Mazzini;67;0731.9622;;www.archeomarche.beniculturali.it;43.4993;12.9386;Lun-merc-gio. 13.30 - 19.30 mart-ven-sab-dom. 8.30 - 13.30. Chiusura: 1� Domenica del mese, 1� Gennaio, 1� Maggio, 25 Dicembre.
Veduta del Ponte di Cecco ad Ascoli;Archeologia;Ponti della Via Salaria;ASCOLI PICENO;;;;protocollo@comune.ascolipiceno.it;www.comune.ascolipiceno.it;42.8533;13.5571;
Mosaico policromo con erma bifronte;Archeologia;Ascoli Piceno ? Mosaico policromo con erma bifronte;ASCOLI PICENO;Museo Archeologico Statale di Ascoli Piceno, Piazza Arringo;28;0736.255563;sba-mar@beniculturali.it;www.archeomarche.it;42.8537;13.5778;
Veduta del Ponte Mallio a Cagli;Archeologia;Cagli ? Ponte Mallio;CAGLI;Via Flaminia;;;municipio@comune.cagli.ps.it;www.comune.cagli.ps.it;43.5503;12.6504;
Cisterne Romane di Fermo;Archeologia;Fermo - Cisterne romane;FERMO;Via degli Aceti;;0734.217140;;http://www.fermo.net;43.1612;13.7197;Invernale: settembre-maggio dal martedì al venerdì visite guidate partenza ore: 10.30, 11.30, 12.30, 16.00, 17.00. Sabato e domenica: 10.30, 11.30, 12.30, 16.00, 17.00, 18.00. Chiuso il lunedì.<br/>Estivo: giugno-agosto dal luned� alla domenica visite gui
Veduta del Passo del Furlo dalla galleria romana;Archeologia;Riserva della Gola del Furlo - Passo del Furlo;ACQUALAGNA;strada statale SS 3, nella parte Roma-Fano;;0721.700041;riservafurlo@provincia.ps.it;www.riservagoladelfurlo.it;43.6217;12.675;
Iscrizione bilingue etrusco-latina;Archeologia;Pesaro - Iscrizione bilingue etrusco latina di et augustea;PESARO;Museo Archeologico Oliveriano - Palazzo Almerici - via Mazza;97;0721.33344;;www.archeoprovincia.it;43.9099;12.9098;Dal 1 luglio al 15 settembre: da luned� a sabato 16.00-19.00. Dal 16 settembre al 30 giugno: da luned� a sabato (su prenotazione). Chiuso nei giorni festivi.
Globo di Matelica;Archeologia;Globo di Matelica;MATELICA;Museo Civico Archeologico di Matelica, Via San Francesco;;0737.787244, 328.5459205 (Museo)/ 0737.781830;protocollo.comunematelica@pec.it;www.comune.matelica.mc.it;43.2579;13.0105;
Scettro proveniente dalla tomba picena di Villa Clara;Archeologia;Matelica - Tomba picena di Villa Clara;MATELICA;Museo Civico Archeologico, Via S. Francesco;;0737.787244 e 328.5459205 (Museo)/ 0737.781830;protocollo.comunematelica@pec.it;www.comune.matelica.mc.it;43.2579;13.0105;
Corredi funerari provenienti dalla Necropoli Gallica di Montefortino;Archeologia;Montefortino - Corredi funerari della Necropoli gallica;ARCEVIA;Museo Archeologico Statale di Arcevia, Chiostro di S. Francesco, Corso Mazzini;67;0731.9622;sistemamuseale@provincia.ancona.it;www.musan.it;43.4993;12.9386;Lun-merc-gio. 13.30 - 19.30/ mart-ven-sab-dom. 8.30 - 13.30/. Chiusura: 1� Domenica del mese, 1� Gennaio, 1� Maggio, 25 Dicembre.
Fonte Magna;Archeologia;Osimo ? Mura urbiche in opus quadratum e Fonte Magna;OSIMO;Via Fonte Magna;;;iat@osimoturismo.it;www.osimoturismo.it;43.4861;13.4901;
Complesso di terrecotte architettoniche provenienti da Civitalba;Archeologia;Sassoferrato (Località Civitalba) - Complesso di terrecotte architettoniche;ANCONA;Museo Archeologico Nazionale delle Marche, Via Ferretti;6;071.202602  (Biglietteria Museo);;http://www.archeomarche.it;43.6234;13.5109;Tutti i giorni 8.30-19.30. Chiuso: il luned�, 25 dicembre, 1 gennaio, 1 maggio.
Necropoli picena in Localit� dei Pini;Archeologia; Sirolo (Località dei Pini) - Necropoli picena e Tomba della Principessa;NUMANA;Antiquarium Statale di Numana, Via La Fenice;4;071.9331162;info@turismonumana.it;http://turismonumana.it;43.5133;13.6212;Aperto tutti i giorni 8.30-19.30. Chiuso il 1 gennaio, 1 maggio, 25 dicembre.
Affreschi del Tempio-criptoportico augusteo della Salus Augusta;Archeologia;Urbisaglia - Tempio-criptoportico augusteo della Salus Augusta;URBISAGLIA;Parco archeologico di Urbs Salvia, Strada Provinciale 78 Picena;;0733.202942 (Meridiana s.r.l.)/ tel. 071.5029811;comune@urbisaglia.sinp.net;www.comune.urbisaglia.mc.it;43.2009;13.3871;Dal 15 giugno al 15 settembre: tutti i giorni 10.00-13.00 e 15.00-19.00. Dal 16 settembre al 14 giugno: sabato e festivi 10.00-13.00 e 15.00-18.00 (ora legale 19,00). Da 2 novembre a 28 febbraio: sabato e festivi 10.00 -13.00 e 14.30-16.30. Aperto tutti i
Piazza del Plebiscito, meglio nota come Piazza del Papa;Architettura e paesaggio;Piazza del Plebiscito, detta anche Piazza del Papa;ANCONA;Piazza del Plebiscito;s.n.c.;;;;43.6196;13.5115;
Piazza del Popolo, il salotto cittadino di Ascoli Piceno;Architettura e paesaggio;Piazza del Popolo;ASCOLI PICENO;;s.n.c.;0736/244975 Informazioni Eventi Culturali;turismo@comune.ascolipiceno.it;www.comune.ascolipiceno.it;42.8546;13.5752;
Veduta esterna del Castello Pallotta;Architettura e paesaggio;Castello Pallotta;CALDAROLA;via castello;2;0733.905467;;www.castellopallotta.com;43.1367;13.2242;
Entrata al borgo di Civitanova Alta;Architettura e paesaggio;Civitanova Alta;CIVITANOVA MARCHE;Corso Garibaldi;22;0733.8221;turismo@comune.civitanova.mc.it;www.civitanovamarche.info;43.3046;13.7195;
Panorama ammirabile da Cupra Alta;Architettura e paesaggio;Cupra Alta;CUPRA MARITTIMA;Piazza della Libertà;11;0735.776700;iat@cupramarittima.org;www.comune.cupra-marittima.ap.it;43.0309;13.8589;
Veduta di Piazza del Popolo;Architettura e paesaggio;Piazza del Popolo;FERMO;Piazza del popolo;s.n.c.;;;;43.1613;13.7183;
Fiorenzuola di Focara;Architettura e paesaggio;Fiorenzuola di Focara;PESARO;Piazza del Popolo;1;0721.3871;;www.comune.pesaro.pu.it;43.97;12.8203;
Panorama di notte;Architettura e paesaggio;Grottammare alta;GROTTAMMARE;;;0735.7391;turismo@comune.grottammare.ap.it;www.comune.grottammare.ap.it;42.9916;13.863;
